t,p_x,p_y,p_z,q_w,q_x,q_y,q_z,v_x,v_y,v_z,w_x,w_y,w_z,a_lin_x,a_lin_y,a_lin_z,a_rot_x,a_rot_y,a_rot_z
4.1,2.55592308920065,1.26117158213508,1,0.998844363451926,-0.0118208164498856,-0.0182902159661802,0.0428447651258021,-0.241772451875086,0.897350970936714,2.72392296284238e-16,0.0902118581715255,-0.0560192475189828,0.0721940812643178,-0.368725826214176,0.216486725062527,1.65703388575729e-16,0,0,0
4.2,2.52982190788274,1.3518237819098,1,0.998674814960978,-0.00663056570968239,-0.0209966024002346,0.0465165803630602,-0.281070215598197,0.913933452431452,2.88921698348602e-16,0.115593439955056,-0.0629565086130023,0.0774312261663672,-0.417864024777791,0.110864141733153,1.64493023132416e-16,0,0,0
4.3,2.49953903856985,1.44356196108915,1,0.998441182554103,-9.27100160511432e-05,-0.0239934317158711,0.0503935672413919,-0.325467070715149,0.918617550875271,3.05206068549611e-16,0.143582392880027,-0.0702163561532873,0.082857545909674,-0.470650880778309,-0.0219319458162242,1.60737381468403e-16,0,0,0
4.4,2.4645469711331,1.53505610922341,1,0.998111865128546,0.00790986082624104,-0.0272817334634488,0.0544595796031633,-0.375307856015563,0.908558994668832,3.2097117539055e-16,0.173553235893538,-0.0776077115305447,0.0884429707657578,-0.52665516371981,-0.184346379057131,1.54041874706393e-16,0,0,0
4.5,2.4242861834124,1.62468062804018,1,0.997646650219223,0.0174534237443929,-0.0308513384101475,0.058691858245116,-0.430884731321255,0.880702238746218,3.35903397313546e-16,0.204523392673526,-0.0848481685365879,0.0941479910390864,-0.58525120486656,-0.378106802130704,1.44015600185037e-16,0,0,0
4.6,2.37817141219463,1.71049733889249,1,0.996998176053466,0.0285536693330817,-0.0346772453402804,0.0630619819644841,-0.492416831268969,0.831868830546669,3.49650826441542e-16,0.23510879213836,-0.0915488414652801,0.0999231962614651,-0.645601858769497,-0.603883689163875,1.30286454836037e-16,0,0,0
4.7,2.32560003299497,1.79024909038528,1,0.99611583467029,0.0411444228550876,-0.0387160447967941,0.0675384946702671,-0.560028554701065,0.758881612203133,3.61826000122498e-16,0.26351641399156,-0.0972093296164744,0.105710224533791,-0.706648617359361,-0.860916644895963,1.12518501257378e-16,0,0,0
4.8,2.2659626457436,1.86136768411711,1,0.99495265781386,0.0550573627850361,-0.0429031699844907,0.0720917021409126,-0.633727311406835,0.658727063898033,3.7201045837439e-16,0.287594826842847,-0.101229959690257,0.111444897371613,-0.76711097334767,-1.14662986596437,9.04310011420585e-17,0,0,0
4.9,2.19865587124722,1.92099993717192,1,0.993475111382985,0.0700063142200848,-0.047151962617726,0.0767007917376427,-0.713381743931979,0.528755344177067,3.79761254363868e-16,0.304958294623398,-0.102946174005604,0.117063133486821,-0.825496817321433,-1.45626882290053,6.38182844958147e-17,0,0,0
5,2.12309725341008,1.96605548082242,1,0.991674721040974,0.0855801491091925,-0.0513554529974203,0.0813627874042218,-0.798701595391804,0.366913949486902,3.84619450681944e-16,0.313183656918126,-0.10168312711354,0.122509663881447,-0.880125111048167,-1.78259850607827,3.2569406262605e-17,0,0,0
